Marca temporal;Autorizo;®Planea usted iniciar estudios universitarios en los pr¢ximos dos a§os?;®Cu†l es su edad? ;GÇnero ;Grado que cursa actualmente  o titulo profesional obtenido;Tipo de instituci¢n Educativa;Nombre del establecimiento educativo en el cual esta estudiando o es Egresado(a) ;Departamento donde reside;Municipio  donde reside;®Ha cursado estudios complementarios en programaci¢n o an†lisis de datos?;"®Cu†l es el nivel de adopci¢n de IA en su organizaci¢n o establecimiento educativo? 
Donde 1 (Nulo o Inexistente) y 5 (Muy alto o Avanzado) ";®Considera que la IA transformar† la mayor°a de los empleos en la pr¢xima dÇcada?;®Cree usted que la regi¢n Orinoqu°a requiere m†s profesionales especializados en IA?;®Esta de acuerdo con que los riesgos Çticos de la IA deben abordarse en los planes de estudio?;"®QuÇ tan familiarizado(a) est†s con la ?inteligencia artificial??
Donde 1 (Nada familiarizado(a)) y 5 (Muy familiarizado(a)) ";®Ha usado aplicaciones con IA (Chat GPT, Gemini, Copilot, filtros de fotos, chatbots. etc)?  ;®QuÇ tan importante cree que ser† aprender a programar para tu futuro?  ;®Le gustar°a participar en proyectos escolares con robots, drones o apps que usen IA?  ; ®En quÇ †reas cree que la IA puede ayudar a tu comunidad?  ;®Cu†l de los siguientes programas acadÇmicos  relacionados con tecnolog°a inform†tica ser°a su primera opci¢n de inscripci¢n?  Escoger solo uno;®Estar°a dispuesto a matricularse en el programa de Ingenier°a en IA en Unitropico?;®QuÇ nivel de importancia tiene para usted el costo de la matr°cula? ;®QuÇ tan relevante es la cercan°a del del campus universitario a su lugar de residencia? ;®Cu†nta importancia otorga usted al prestigio de la universidad para realizar el programa de ingenier°a en IA?  ;En el mercado laboral actual, ®QuÇ tan probable considera que un egresado de Ingenier°a en Inteligencia Artificial obtenga empleo en su campo? ;®QuÇ relevancia tiene para usted la disponibilidad de becas u otros apoyos financieros?  ;Puntuaci¢n
8/8/2025 16:47:01;;Si;Menos de 17 a§os;Masculino;Once;Oficial (P£blica);Megacolegio el progreso ;Casanare;Yopal ;Si, No;4;En desacuerdo;En desacuerdo;De acuerdo;4;3;4;Si;Salud, Educaci¢n, Seguridad, Otro;Ingenier°a Electr¢nica;Si;Muy importante;Importante;Importante;Muy probable;5;
9/2/2025 16:42:42;Si;No;18 - 22 a§os;Masculino;Estudiante Universitario;Oficial (P£blica);Unitropico;Casanare;Yopal;No;4;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;5;5;5;Si;Medio ambiente, Salud, Educaci¢n, Entretenimiento;Ingenier°a de Sistemas;Tal vez;Muy importante;Muy importante;Importante;Probable;5;
9/2/2025 16:45:35;Si;Si;27 - 45 a§os;Masculino;Profesional Graduado;No Oficial (privada);Universidad Santo Tomas;Casanare;Yopal;Si;4;De acuerdo;De acuerdo;De acuerdo;3;5;4;Si;Educaci¢n, Entretenimiento, Seguridad;Ingenier°a en Inteligencia Artificial;Si;Muy importante;Moderado;Importante;Probable;4;
9/3/2025 15:11:07;Si;No sabe;Menos de 17 a§os;Masculino;Estudiante Universitario;Oficial (P£blica);Unitropico ;Casanare;Yopal;No;5;5;1;Totalmente de acuerdo;5;5;5;Si;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad, Otro;Ingenier°a de Sistemas;Si;Importante;Moderado;Importante;Muy probable;5;
9/3/2025 15:34:13;Si;No sabe;18 - 22 a§os;Masculino;Estudiante Universitario;Oficial (P£blica);Unitropico ;Casanare;Aguazul ;Si;4;5;5;Totalmente de acuerdo;5;5;5;Tal vez;Medio ambiente, Salud, Educaci¢n, Seguridad;Ingenier°a de Sistemas;Si;Muy importante;Muy importante;Muy importante;Muy probable;4;
9/3/2025 15:35:06;Si;Si;Menos de 17 a§os;Femenino;Decimo;No Oficial (privada);Bethel ;Casanare;Yopal;No;3;5;3;Ni de acuerdo ni en desacuerdo;3;5;5;Tal vez;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad;Ingenier°a en Inteligencia Artificial;Tal vez;Moderado;Poco;Importante;Probable;3;
9/3/2025 15:35:19;Si;Si;Menos de 17 a§os;Femenino;Once;No Oficial (privada);Colegio bethel;Casanare;Yopal;Si;3;4;4;De acuerdo;4;4;4;Si, Tal vez;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Importante;Importante;Importante;Neutral / No estoy seguro(a);4;
9/3/2025 15:35:24;Si;No sabe;Menos de 17 a§os;Masculino;Once;No Oficial (privada);colegio bethel;Casanare;yopal;Si;3;5;3;Ni de acuerdo ni en desacuerdo;3;4;3;Tal vez;Medio ambiente, Salud, Educaci¢n, Otro;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Moderado;Moderado;Moderado;Neutral / No estoy seguro(a);4;
9/3/2025 15:35:50;No;No;18 - 22 a§os;Masculino;Estudiante Universitario;Oficial (P£blica);Unitr¢pico ;Casanare;Yopal ;Si;4;4;4;De acuerdo;5;5;2;Tal vez;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad, Otro;Ingenier°a Multimedia;No;Muy importante;Moderado;Poco;Neutral / No estoy seguro(a);5;
9/3/2025 15:36:22;Si;Si;Menos de 17 a§os;Femenino;Once;No Oficial (privada);Colegio Bethel ;Casanare;Yopal ;Si;2;4;3;De acuerdo;4;5;5;Tal vez;Salud, Educaci¢n, Entretenimiento;Ingenier°a en Inteligencia Artificial;No;Poco;Moderado;Nada importante;Probable;3;
9/3/2025 15:37:14;Si;Si;Menos de 17 a§os;Femenino;Once;No Oficial (privada);Bethel ;Casanare;Yopal ;Si;2;4;3;Ni de acuerdo ni en desacuerdo;3;5;4;Tal vez;Otro;Ingenier°a en Telecomunicaciones;Tal vez;Importante;Moderado;Moderado;Neutral / No estoy seguro(a);3;
9/3/2025 15:37:53;Si;Si;Menos de 17 a§os;Femenino;Once;No Oficial (privada);Colegio Bethel ;Casanare;Yopal;Si;2;4;3;Ni de acuerdo ni en desacuerdo;4;5;4;Tal vez;Medio ambiente, Salud, Educaci¢n;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;No;Moderado;Importante;Moderado;Probable;4;
9/3/2025 15:38:00;Si;Si;Menos de 17 a§os;Femenino;Once;No Oficial (privada);Bethel;Casanare;Yopal;Si;3;4;3;Ni de acuerdo ni en desacuerdo;3;3;5;Tal vez;Otro;Ingenier°a Mecatr¢nica;Tal vez;Muy importante;Moderado;Moderado;Neutral / No estoy seguro(a);5;
9/3/2025 15:38:58;Si;Si;Menos de 17 a§os;Femenino;Estudiante Universitario;Oficial (P£blica);Unitropico ;Casanare;Yopal;Si;4;5;5;De acuerdo;4;5;5;Si;Educaci¢n, Entretenimiento;Ingenier°a de Sistemas;Si;Importante;Moderado;Importante;Probable;5;
9/3/2025 15:39:49;Si;Si;Menos de 17 a§os;Femenino;Once;No Oficial (privada);Colegio Bethel ;Casanare;Yopal;Si;2;4;3;Totalmente de acuerdo;3;3;4;No;Medio ambiente, Salud, Educaci¢n, Agricultura, Seguridad;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Importante;Moderado;Importante;Neutral / No estoy seguro(a);4;
9/3/2025 15:42:25;Si;Si;Menos de 17 a§os;Femenino;Once;No Oficial (privada);Colegio Bethel;Casanare;Yopal;Si;4;4;5;Totalmente en desacuerdo;5;5;5;Si;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad;Ingenier°a en Telecomunicaciones;No;Muy importante;Muy importante;Muy importante;Poco probable;5;
9/3/2025 15:43:23;Si;Si;Menos de 17 a§os;Femenino;Once;No Oficial (privada);Colegio bethel ;Casanare;Yopal;Si;3;3;3;De acuerdo;4;3;3;No, Tal vez;Medio ambiente, Educaci¢n, Seguridad, Otro;Ingenier°a de Sistemas;No;Importante;Importante;Moderado;Probable;3;
9/3/2025 15:43:34;Si;Si;Menos de 17 a§os;Femenino;Decimo;Oficial (P£blica);COLEGIO LUIS HERNµNDEZ VARGAS ;Casanare;Yopal;Si;3;5;3;Ni de acuerdo ni en desacuerdo;5;5;4;Si;Educaci¢n;Ingenier°a de Sistemas;Tal vez;Moderado;Importante;Muy importante;Probable;5;
9/3/2025 15:43:53;Si;No sabe;18 - 22 a§os;Femenino;Estudiante Universitario;Oficial (P£blica);Unitropico;Casanare;Yopal;No;3;4;4;De acuerdo;2;4;5;Si;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad;Ingenier°a Electr¢nica;Si;Moderado;Importante;Importante;Probable;5;
9/3/2025 15:43:58;Si;Si;Menos de 17 a§os;Masculino;Decimo;No Oficial (privada);Colegio Bethel;Casanare;Yopal;Si;2;5;3;Ni de acuerdo ni en desacuerdo;5;5;5;Tal vez;Salud, Educaci¢n, Entretenimiento;Ingenier°a de Sistemas;No;Moderado;Moderado;Importante;Neutral / No estoy seguro(a);3;
9/3/2025 15:44:44;Si;Si;Menos de 17 a§os;Femenino;Decimo;No Oficial (privada);Bethel;Casanare;Yopal ;Si;3;4;3;Ni de acuerdo ni en desacuerdo;5;5;4;Tal vez;Medio ambiente, Salud, Educaci¢n, Entretenimiento;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;No;Muy importante;Importante;Moderado;Muy probable;5;
9/3/2025 15:45:38;Si;No sabe;Menos de 17 a§os;Femenino;Decimo;Oficial (P£blica);Luis Hern†ndez Vargas ;Casanare;Yopal ;No;3;3;3;De acuerdo;3;5;5;Si;Educaci¢n, Entretenimiento, Seguridad, Otro;Ingenier°a de Sistemas;Tal vez;Muy importante;Moderado;Importante;Probable;5;
9/3/2025 15:46:15;Si;Si;Menos de 17 a§os;Masculino;Once;No Oficial (privada);Bethel ;Casanare;Yopal ;No;3;4;3;Ni de acuerdo ni en desacuerdo;4;5;5;Si, Tal vez;Seguridad;Ingenier°a Mecatr¢nica;Tal vez;Moderado;Poco;Importante;Neutral / No estoy seguro(a);3;
9/3/2025 15:46:37;Si;Si;Menos de 17 a§os;Masculino;Decimo;Oficial (P£blica);Luis Hern†ndez Vargas ;Casanare;Yopal ;Si;3;5;5;Totalmente de acuerdo;4;4;5;Si;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Otro;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Importante;Moderado;Importante;Probable;5;
9/3/2025 15:46:39;Si;No sabe;Menos de 17 a§os;Masculino;Once;No Oficial (privada);Bethel ;Casanare;Yopal ;Si;4;3;4;De acuerdo;4;5;4;Tal vez;Salud;Ingenier°a de Sistemas;Tal vez;Moderado;Moderado;Moderado;Neutral / No estoy seguro(a);2;
9/3/2025 15:47:43;Si;Si;Menos de 17 a§os;Femenino;Once;No Oficial (privada);Colegio Bethel ;Casanare;Yopal Casanare ;Si;5;4;3;Ni de acuerdo ni en desacuerdo;4;5;5;Tal vez;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;No;Moderado;Moderado;Moderado;Poco probable;5;
9/3/2025 15:48:02;Si;Si;Menos de 17 a§os;Femenino;Decimo;No Oficial (privada);Colegio Bethel;Casanare;Yopal;Si;2;4;3;De acuerdo;3;5;5;Tal vez;Agricultura, Entretenimiento;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Moderado;Poco;Moderado;Probable;5;
9/3/2025 15:48:32;Si;Si;Menos de 17 a§os;Masculino;Decimo;No Oficial (privada);Colegio Bethel ;Casanare;Yopal ;Si;1;3;5;Ni de acuerdo ni en desacuerdo;3;5;3;No;Entretenimiento, Otro;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;No;Nada Importante;Poco;Importante;Neutral / No estoy seguro(a);4;
9/3/2025 15:48:55;Si;Si;Menos de 17 a§os;Masculino;Once;No Oficial (privada);Bethel;Casanare;Yopal;No;3;4;2;De acuerdo;4;4;3;No;Medio ambiente, Educaci¢n, Agricultura, Entretenimiento, Seguridad;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;No;Muy importante;Importante;Moderado;Probable;4;
9/3/2025 15:50:51;Si;Si;Menos de 17 a§os;Femenino;Decimo;No Oficial (privada);Bethel;Casanare;Yopal;No;2;5;3;De acuerdo;5;5;3;Tal vez;Salud, Educaci¢n, Entretenimiento, Seguridad;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Moderado;Moderado;Poco;Neutral / No estoy seguro(a);3;
9/3/2025 15:50:53;Si;Si;Menos de 17 a§os;Masculino;Once;No Oficial (privada);Colegio Bethel ;Casanare;Yopal;Si;3;5;5;Ni de acuerdo ni en desacuerdo;4;5;5;Tal vez;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad;Ingenier°a en Telecomunicaciones;Tal vez;Importante;Moderado;Importante;Probable;5;
9/3/2025 15:51:20;Si;No sabe;Menos de 17 a§os;Masculino;Once;No Oficial (privada);Bethel;Casanare;Yopal;Si;3;5;5;Ni de acuerdo ni en desacuerdo;4;5;5;Si, Tal vez;Medio ambiente, Salud, Educaci¢n, Agricultura;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Moderado;Moderado;Moderado;Probable;5;
9/3/2025 15:54:24;Si;Si;Menos de 17 a§os;Masculino;Decimo;No Oficial (privada);Bethel ;Casanare;Yopal ;Si, No;3;4;4;De acuerdo;5;5;4;Si;Medio ambiente, Salud, Educaci¢n, Agricultura, Otro;Ingenier°a en Inteligencia Artificial;Si;Moderado;Nada importante;Poco;Poco probable;4;
9/3/2025 15:55:08;Si;Si;18 - 22 a§os;Femenino;Once;No Oficial (privada);Colegio Bethel ;Casanare;Yopal;Si;3;5;4;Totalmente de acuerdo;4;5;5;Si;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad, Otro;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Moderado;Poco;Moderado;Probable;5;
9/3/2025 15:56:14;Si;Si;Menos de 17 a§os;Femenino;Once;No Oficial (privada);Colegio Bethel ;Casanare;Yopal ;No;3;4;3;Ni de acuerdo ni en desacuerdo;2;4;2;No;Agricultura, Seguridad;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;No;Importante;Poco;Moderado;Poco probable;2;
9/3/2025 15:56:23;Si;Si;Menos de 17 a§os;Femenino;Decimo;No Oficial (privada);Bethel;Casanare;Yopal;Si;1;3;3;Ni de acuerdo ni en desacuerdo;1;2;4;Tal vez;Otro;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;No;Importante;Moderado;Poco;Neutral / No estoy seguro(a);3;
9/3/2025 15:56:31;Si;Si;Menos de 17 a§os;Femenino;Decimo;No Oficial (privada);Bethel ;Casanare;Yopal;Si;2;3;2;Ni de acuerdo ni en desacuerdo;3;3;3;Tal vez;Salud;Ingenier°a de Sistemas;Tal vez;Moderado;Moderado;Moderado;Neutral / No estoy seguro(a);4;
9/3/2025 15:56:56;Si;Si;Menos de 17 a§os;Masculino;Decimo;Oficial (P£blica);Unitropico;Casanare;Yopal;No;2;4;4;De acuerdo;3;5;4;Si;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad;Ingenier°a Mecatr¢nica;Si;Importante;Poco;Moderado;Neutral / No estoy seguro(a);4;
9/3/2025 15:58:13;Si;Si;Menos de 17 a§os;Femenino;Decimo;No Oficial (privada);colegio Bethel;Casanare;yopal;Si;4;4;5;Totalmente en desacuerdo;4;5;5;Si;Medio ambiente, Salud, Educaci¢n, Agricultura;Ingenier°a de Sistemas;Si;Poco;Moderado;Muy importante;Muy probable;5;
9/3/2025 16:00:10;Si;Si;18 - 22 a§os;Masculino;Bachiller graduado;No Oficial (privada);Colegio Bethel ;Casanare;Yopal, Casanare ;Si;4;5;5;Totalmente de acuerdo;4;5;3;Si;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Muy importante;Muy importante;Importante;Muy probable;5;
9/3/2025 16:02:01;Si;Si;Menos de 17 a§os;Masculino;Decimo;No Oficial (privada);Colegio Bethel ;Casanare;Yopal ;Si;3;4;5;Totalmente de acuerdo;3;5;4;Tal vez;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad;Ingenier°a de Sistemas;Si;Moderado;Nada importante;Importante;Neutral / No estoy seguro(a);5;
9/3/2025 16:04:40;Si;Si;Menos de 17 a§os;Femenino;Decimo;No Oficial (privada);Colegio Bethel ;Casanare;Yopal;Si;3;5;3;De acuerdo;5;5;4;Tal vez;Medio ambiente, Salud, Educaci¢n, Agricultura, Seguridad;Ingenier°a en Inteligencia Artificial;Tal vez;Moderado;Nada importante;Importante;Probable;5;
9/3/2025 16:04:49;Si;Si;Menos de 17 a§os;Masculino;Decimo;No Oficial (privada);Colegio Bethel;Casanare;Yopal;No;2;4;3;Totalmente de acuerdo;5;5;4;Tal vez;Medio ambiente, Salud, Educaci¢n, Agricultura, Seguridad;Ingenier°a Electr¢nica;Tal vez;Muy importante;Moderado;Importante;Neutral / No estoy seguro(a);4;
9/3/2025 16:06:40;Si;No sabe;23 - 26 a§os;Femenino;Profesional Graduado;No Oficial (privada);Fundaci¢n Universitaria Juan De Castellanos ;Boyac†;Yopal;Si;3;4;4;Totalmente de acuerdo;4;4;3;Tal vez;Medio ambiente, Agricultura, Seguridad;Ciencia de Datos;Tal vez;Moderado;Muy importante;Moderado;Neutral / No estoy seguro(a);5;
9/3/2025 16:07:57;Si;Si;Menos de 17 a§os;Femenino;Decimo;No Oficial (privada);Colegio Bethel ;Casanare;Yopal ;Si;5;3;5;Totalmente de acuerdo;5;5;5;Tal vez;Salud;Ingenier°a en Inteligencia Artificial;Tal vez;Nada Importante;Importante;Moderado;Probable;5;
9/3/2025 16:08:13;Si;Si;Menos de 17 a§os;Masculino;Decimo;No Oficial (privada);Colegio Bethel;Casanare;Yopal ;No;2;4;3;De acuerdo;4;5;4;Tal vez;Medio ambiente, Salud, Educaci¢n, Agricultura, Seguridad;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Moderado;Importante;Moderado;Probable;3;
9/3/2025 16:08:14;Si;Si;Menos de 17 a§os;Femenino;Decimo;Oficial (P£blica);Instituci¢n educativa Teresa de Calcuta ;Casanare;Yopal;Si;3;3;3;De acuerdo;3;2;4;Si;Otro;Ingenier°a en Inteligencia Artificial;Tal vez;Muy importante;Importante;Muy importante;Muy probable;4;
9/3/2025 16:10:03;Si;Si;Menos de 17 a§os;Masculino;Decimo;No Oficial (privada);Bethel ;Casanare;Yopal ;Si;3;3;5;De acuerdo;4;4;4;Si;Seguridad;Ingenier°a en Inteligencia Artificial;Si;Moderado;Moderado;Poco;Probable;3;
9/3/2025 16:10:37;Si;Si;Menos de 17 a§os;Femenino;Decimo;No Oficial (privada);Bethel;Casanare;Yopal ;Si;2;2;1;Totalmente de acuerdo;3;5;3;No;Educaci¢n;Ingenier°a en Ciberseguridad;Tal vez;Moderado;Importante;Moderado;Probable;5;
9/3/2025 16:11:10;Si;Si;Menos de 17 a§os;Masculino;Once;No Oficial (privada);Colegio bethel;Casanare;Yopal;No;1;4;4;Ni de acuerdo ni en desacuerdo;4;5;5;Si;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad;Ingenier°a en Inteligencia Artificial;Si;Moderado;Poco;Importante;Probable;5;
9/3/2025 16:15:12;Si;Si;Menos de 17 a§os;Masculino;Decimo;No Oficial (privada);Bethel;Casanare;Yopal;No;1;4;3;Totalmente de acuerdo;4;5;5;Tal vez;Agricultura;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;No;Poco;Moderado;Moderado;Neutral / No estoy seguro(a);4;
9/3/2025 16:15:38;Si;Si;Menos de 17 a§os;Masculino;Decimo;No Oficial (privada);Colegio Bethel ;Casanare;Yopal;Si;4;3;3;De acuerdo;3;4;2;Tal vez;Medio ambiente, Salud, Educaci¢n, Seguridad, Otro;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Importante;Moderado;Moderado;Neutral / No estoy seguro(a);5;
9/3/2025 16:19:32;Si;Si;18 - 22 a§os;Femenino;Estudiante Universitario;Oficial (P£blica);Universidad Internacional del Tr¢pico Americano;Casanare;Yopal;Si;5;3;5;De acuerdo;4;5;5;Si;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad;Ingenier°a de Sistemas;Si;Muy importante;Muy importante;Muy importante;Muy probable;5;
9/3/2025 16:21:49;Si;No sabe;Menos de 17 a§os;Masculino;Decimo;No Oficial (privada);Colegio Bethel;Casanare;Yopal;Si;1;5;5;Totalmente de acuerdo;4;5;4;Si;Salud, Educaci¢n, Seguridad;Ingenier°a Mecatr¢nica;Tal vez;Muy importante;Poco;Moderado;Poco probable;5;
9/3/2025 16:24:27;Si;Si;Menos de 17 a§os;Masculino;Decimo;No Oficial (privada);Colegio bethel ;Casanare;Yopal;Si;3;4;4;De acuerdo;4;4;4;No;Salud;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;No;Poco;Moderado;Nada importante;Neutral / No estoy seguro(a);3;
9/3/2025 16:26:10;Si;Si;Menos de 17 a§os;Femenino;Decimo;No Oficial (privada);Colegio Bethel ;Casanare;Yopal;Si;2;3;3;De acuerdo;2;3;3;Tal vez;Medio ambiente;Ingenier°a en Ciberseguridad;Tal vez;Importante;Poco;Moderado;Probable;4;
9/3/2025 16:29:25;Si;Si;Menos de 17 a§os;Femenino;Decimo;No Oficial (privada);Colegio Bethel;Casanare;Yopal;Si;3;2;3;Totalmente de acuerdo;5;5;3;Tal vez;Entretenimiento;Ingenier°a Multimedia;Si;Muy importante;Importante;Moderado;Probable;4;
